school_name,alp_domain,alp_title,llp_domain1,llp_title
Admiralty Secondary,STEM - Emerging Technologies,Design Thinking Through Innovation and Technology,Community Youth Leadership,Nurturing Mindful Leaders through Community Outreach
Ahmad Ibrahim Secondary ,Humanities,Critical Social Inquiry and Media Literacy,Sports & Outdoor Education,Character Development Through Outdoor Learning Experience (OLE)
Ang Mo Kio Secondary,STEM - Sustainability,Environment Sustainability through STEM,Music & Performing Arts,Integrated Arts Programme
Anglo-Chinese School (Barker Road),Languages,Developing Confident and Effective Communicators,Sports & Outdoor Education,Building Character through Sports and Outdoor Education
Assumption English School,Languages,Speak English with grAce and Knowledge (SPEAK),Community Youth Leadership,DINAN Leadership Programme
Bartley Secondary,STEM - Health and Food Science,Chemical and Applied Sciences (Fragrance),Community Youth Leadership,i-LEAD @ Bartley to develop as Leaders for Others
Beatty Secondary,STEM - Cities and Urban Landscapes,Beattyians Think.Create.Innovate - Programming for smart living,Community Youth Leadership,Beatty�s Leaders for Life Programme
Bedok Green Secondary,STEM - Future of Transportation,Design and Aeronautical Engineering,Music & Performing Arts,PAssion Programme
Bedok South Secondary,Interdisciplinary,Project S.H.I.N.E -- An Integrated Student-Centred and Holistic Programme that Develops Innovation and Nurtures Empathy,Sports & Outdoor Education,SHAPE@BDS: A School of Healthy And Physically Educated Enthusiasts 
Bedok View Secondary,Humanities,Global Awareness for the 21st Century @ BV,Community Youth Leadership,Good Values @ BV
Bendemeer Secondary ,STEM - Emerging Technologies,Harnessing Technology for Healthcare ,Community Youth Leadership,"Level-wide thematic approach to VIA, with skills, values and student ownership spiralling upwards"
Boon Lay Secondary,STEM - Sustainability,Exploring Possibilities in Materials Science ,Music & Performing Arts,INSPIRE @ BLS
Bowen Secondary ,Business & Entrepreneurship,"Nurturing Creativity, Empathy and Enterprise through Social Entrepreneurship",Community Youth Leadership,Bowen ChANgemakers Programme
Broadrick Secondary ,STEM - Sustainability,Broadrick Entrepreneurship in STEM,Community Youth Leadership,"Nurturing Confidence And REsilience (CARE) through Aesthetic, Community and Youth Leadership"
Bukit Batok Secondary,STEM - Cities and Urban Landscapes,Developing Proactive Problem-Solvers who care for our World through STEM,Community Youth Leadership,Developing Community Youth Leadership (CYL) through VIA - Journey to Become RESPECTful Leaders
Bukit Merah Secondary ,STEM - Emerging Technologies,Creative Robotics and Engineering,Sports & Outdoor Education,Character Development & Leadership through Sports
Bukit View Secondary,STEM - Sustainability,Clean Energy and Environmental Technology,Music & Performing Arts,"Learning the Arts, Living the Values"
Canberra Secondary,Aesthetics,Digital Media in Visual Arts,Community Youth Leadership,GRC GEMS in action
Changkat Changi Secondary,STEM - Future of Transportation,SOAR @ CCSS - Student Centered Opportunities for AeRospace industries at CCSS,Community Youth Leadership,Service and Leadership through School to Nation
CHIJ St Joseph's Convent,Languages,The Art of Communication through Theatre and Debates,Community Youth Leadership,Empathy and Critical Thinking through Community Problem Solving
CHIJ St Theresa's Convent,Interdisciplinary,Education For Life � Developing Portable Skills through and for Real World Problem Solving,Sports & Outdoor Education,"Developing Self-directed, Confident and Resilient Leaders, Learners and Ladies through Sports & Hockey"
Christ Church Secondary ,STEM - Health and Food Science,Applied Learning Programme (ALP) in Health Science and Technology @ CHR,Sports & Outdoor Education,Leadership through Outdoor Adventure Learning 
Chua Chu Kang Secondary,STEM - Sustainability,Technology in Sustainability,Community Youth Leadership,Student Leadership Development Programme
Chung Cheng High School (Yishun),STEM - Health and Food Science,Food Science and Technology,Music & Performing Arts,HeARTs for the Arts
Clementi Town Secondary,STEM - Emerging Technologies,Mastery through Application and Research in STEM (MARS),Community Youth Leadership,Learning for Life: Community Youth Leadership
Compassvale Secondary,STEM - Future of Transportation,Aeronautics Applied Learning Programme,Community Youth Leadership,Inspired North Stars Inspire Actions
Damai Secondary,STEM - Sustainability,Environmental Sciences and Sustainability,Sports & Outdoor Education,Character Development through Water and Adventure Sports
Deyi Secondary ,Languages,Activating the Joy of Learning through Mi-ke-m?n Broadcast Journalism ,Music & Performing Arts,Nurturing Confident Communicators and Gracious Citizens through the Arts
Dunearn Secondary,STEM - Health and Food Science,FSciTech: Developing Dunearnites as confident and creative young scientists through Food Science and Technology ,Community Youth Leadership,Every Dunearnite a Community Youth Leader 
East Spring Secondary,STEM - Health and Food Science,21st Century Innovators through Health Science,Community Youth Leadership,Community Youth Leadership
Edgefield Secondary,Business & Entrepreneurship,Growing the Edgefield Mindset (G.E.M),Sports & Outdoor Education,Character Education Through Sports (Anchored on Taekwondo)
Evergreen Secondary ,Languages,Effective Communicators with a Heart,Sports & Outdoor Education,"Strengthening Resilience, Character and Leadership through Sports Education"
Fuchun Secondary,STEM - Emerging Technologies,Innovations in Science & Technology for Sustain-Ability,Music & Performing Arts,Values Through Dance
Fuhua Secondary,STEM - Emerging Technologies,Forensic Science@Fuhua,Community Youth Leadership,Leadership through Service
Gan Eng Seng School,STEM - Sustainability,GESS Probes,Community Youth Leadership,GESS LIFE Programme
Geylang Methodist School (Secondary),STEM - Sustainability,Sustainability - Promoting a Better World,Community Youth Leadership,"Nurturing Confident, Compassionate and Courageous Leaders"
Greendale Secondary,STEM - Sustainability,"Design, Technology and Engineering ALP Programme",Sports & Outdoor Education,Character Development through Outdoor and Adventure Education
Greenridge Secondary,Languages,Confident & Persuasive Communicators: Debate & New Media,Community Youth Leadership,Rise to Lead 
Guangyang Secondary,STEM - Sustainability,Sustainability,Music & Performing Arts,Act Up! Speak Up!
Hai Sing Catholic School,STEM - Cities and Urban Landscapes,Robotics and Engineering,Community Youth Leadership,Developing Leadership Competencies in Every HaiSian
Hillgrove Secondary,STEM - Future of Transportation,Broadening Learning Horizons through Flight and Aerospace,Music & Performing Arts,"Arts E3: Engage, Excite, Empower! "
Holy Innocents' High School,Languages,Journalism and Broadcasting -- Developing Critical Thinkers and Effective Communicators,Community Youth Leadership,Good Samaritan Programme (GSP)
Hougang Secondary,Languages,Promoting Communication Skills using Authentic Learning as a Platform,Community Youth Leadership,"Values in action, a Hougean way of life"
Hua Yi Secondary,STEM - Health and Food Science,Technology for Active Living,Community Youth Leadership,Community and Youth Leadership in Hua Yi
Junyuan Secondary,STEM - Health and Food Science,Developing Application-based Learning through Food Science,Community Youth Leadership,Cultivating Community Champions through Youth Leadership
Jurong Secondary,STEM - Cities and Urban Landscapes,Design for Smart and Sustainable Urban Living,Sports & Outdoor Education,"Sporty at Heart, Sporting in Mind "
Jurong West Secondary,Aesthetics,"Harnessing Technology, Communication and the Visual Arts in Authentic Contexts",Community Youth Leadership,LLP @ JWSS - Community Youth Leadership
Jurongville Secondary,STEM - Emerging Technologies,Real World Learning through Electronics,Sports & Outdoor Education,Sports for Life
Juying Secondary,Languages,"Developing Confident, Competent and Empathetic Communicators",Community Youth Leadership,Developing Self-Directed & Intrinsically Motivated Learners through PASSION
Kent Ridge Secondary,STEM - Health and Food Science,Developing Computational Thinking through Robotics,Sports & Outdoor Education,EVOKE!@KR (Educational Values of Olympism at Kent Ridge) through Sports and Outdoor Education 
Kranji Secondary,Interdisciplinary,Design Innovation for Sustainable Living ,Community Youth Leadership,Nurturing a Leader in Every Kranjian through Community and Youth Leadership
Kuo Chuan Presbyterian Secondary,Languages,"(P.A.C.E) Participate, Access/Analyse, Create, Evaluate in KCPSS Media Literacy Programme",Community Youth Leadership,It�s B.a.S.i.C! � Being a Servant Leader in the Community
Loyang View Secondary,STEM - Sustainability,Design and Engineering,Sports & Outdoor Education,"Student Leadership, Sports & Outdoor Education (Character Development Through Exposure, Empowerment & Excellence)"
Manjusri Secondary,STEM - Cities and Urban Landscapes,Smart City & Assistive Technologies,Music & Performing Arts,Learning through the ARTS
Marsiling Secondary ,STEM - Sustainability,Eco-Sustainability through Inquiry-based Learning ,Community Youth Leadership,HEART - HEalthy and Active youth for the community through outdooR and health promoTing curriculum
Mayflower Secondary,Languages,Developing confidence and curiosity through effective communication,Music & Performing Arts,"Developing a Zest for Life through Music, Performing and Visual Arts"
Meridian Secondary,Aesthetics,Applied Learning Programme in Visual Communication,Community Youth Leadership,"To develop leaders of sound character who are anchored in values, effective in leadership and altruistic in service."
Montfort Secondary,STEM - Emerging Technologies,"Made In Montfort � Design, Code, Make ",Sports & Outdoor Education,Student Leadership through Outdoor Adventure & Sports 
Nan Chiau High School,STEM - Emerging Technologies,Emerging Technologies,Music & Performing Arts," Enhancing Expression, Creativity and Aesthetics Appreciation (ECAA) through the ARTS"
Naval Base Secondary,Aesthetics,ALP in Art,Sports & Outdoor Education,Character Education through Sports
New Town Secondary,Interdisciplinary,"Digital Communicators, Change Makers",Community Youth Leadership,Nurturing Leaders of the Future through SPARK
North Vista Secondary,STEM - Cities and Urban Landscapes,Farm-to-Table,Visual Arts & Design,Nurturing Creative Problem Solvers through the Arts & Design
Northbrooks Secondary,STEM - Future of Transportation,Northbrooks Aerospace Programme (Applied Learning In Aerospace),Sports & Outdoor Education,"Northbrooks Outdoor Education: Adventure, Character, Environment (A.C.E.) Programme"
Northland Secondary ,STEM - Health and Food Science,Eldertech - Technology for Adaptive Aging,Sports & Outdoor Education,Game for Life (GfL) � �Empowering our Active Sportsmen�
Orchid Park Secondary,Aesthetics,ARTopIA,Community Youth Leadership,Community OutReach Education (CORE) Programme
Outram Secondary,Business & Entrepreneurship,Business and Enterprise,Sports & Outdoor Education,Sports For Life@Outram
Pasir Ris Crest Secondary ,Languages,Effective Communicators who impact with the heart and mind,Music & Performing Arts,Nurturing Crestian Leaders of Tomorrow through Music and the Performing Arts
Pasir Ris Secondary,Humanities,Eye on the World:  Stories through Journalism,Music & Performing Arts,Cultural Fusion
Pei Hwa Secondary,STEM - Emerging Technologies,Coding and Making,Community Youth Leadership,PRIDE of the Community: Developing An Altruist
Peicai Secondary,STEM - Health and Food Science,Applied food science & processing,Community Youth Leadership,Becoming Persons for Others � Developing Leadership through and for the Community
Peirce Secondary ,Languages,Deepening Reflection and Developing Critical Thinking through Media,Community Youth Leadership,Developing Community Leaders with the Heart to Serve through Uniformed Groups
Presbyterian High School,STEM - Health and Food Science,Food and Health Science ,Community Youth Leadership,Community Youth Leadership
Punggol Secondary,STEM - Sustainability,Applied Learning Programme in Environment Education,Community Youth Leadership,"Serving with values, developing a community of confident leaders and learners."
Queenstown Secondary,Humanities,Environmental Sustainability,Community Youth Leadership,Dare to Serve -- QUEST Leadership Development through Community Youth Leadership
Queensway Secondary,STEM - Sustainability,Sustainability (Water & Food),Sports & Outdoor Education,QSS Sports and Outdoor Education (SOE) Programme
Regent Secondary,STEM - Emerging Technologies,Create � Connect � Innovate (Emerging Technologies),Community Youth Leadership,"Empowering every Regenite to be a Responsible and Confident Leader, Committed to Excellence 
"
Riverside Secondary,Humanities,Global Citizenship Education through Critical Social Inquiry ,Music & Performing Arts,Arts for Life
Sembawang Secondary,Humanities,Critical & Inventive Thinking (CIT) through Media Literacy,Community Youth Leadership,Youth Leadership in Service of the Community
Seng Kang Secondary ,STEM - Health and Food Science,Health Science & Technology,Sports & Outdoor Education,Building Character through Sports & Outdoor Adventure
Serangoon Garden Secondary,Humanities,Researching Society through Media Literacy  ,Community Youth Leadership,Nurturing Confident and Compassionate Leaders
Serangoon Secondary,STEM - Future of Transportation,Real-world Explorations in ICT,Community Youth Leadership,Project Ablaze: Harnessing Student Leadership in the Service of Community
Springfield Secondary,STEM - Health and Food Science,Health and Food Science,Community Youth Leadership,GEARing Springfielders for Success
St Andrew�s Secondary,STEM - Future of Transportation,Saints Engineering Design Programme ,Sports & Outdoor Education,Sports for Life
St Gabriel's Secondary,STEM - Future of Transportation,Future of Transportation (Flight & Aerospace),Community Youth Leadership,Integrated Character and Citizenship Education of growing Community Youth Leaders through Service and Leadership.
St Hilda�s Secondary ,Languages,The Hildan Approach to Teaching Thinking through English Language Learning,Sports & Outdoor Education,Develop a Whole Person through Sports and Outdoor Education
St Patrick's School,STEM - Emerging Technologies,Emerging Technologies,Music & Performing Arts,Music & Music Technology
Swiss Cottage Secondary,STEM - Sustainability,Applied Sciences for Sustainable Development ,Community Youth Leadership,Thoughtful Leadership Programme
Tampines Secondary,STEM - Sustainability,Creative Engineering : Inter-disciplinary Authentic Problem Solving,Music & Performing Arts,Creative Expressions: Character development through visual and performing arts 
Unity Secondary,STEM - Sustainability,Sustainability Education @ USS,Sports & Outdoor Education,Lead through Outdoor and Sporting Adventures
West Spring Secondary,Humanities ,Effective Communication and Critical Thinking through Media Literacy,Sports & Outdoor Education,"STAR (Sportsmanship, Teamwork and Resilience) through Sports and Music"
Westwood Secondary,Business & Entrepreneurship,Innovation & Social Entrepreneurship,Music & Performing Arts,Arts for Life!
Whitley Secondary,Languages,Speech Communication Arts,Community Youth Leadership,Active Citizenship for Social Change
Woodgrove Secondary,STEM - Sustainability,STEM for Sustainable Living in the Community,Community Youth Leadership,Learners and Leaders for Life
Woodlands Ring Secondary,STEM - Future of Transportation,The Robotics Education & Enterprise (TREE),Community Youth Leadership,Student Leadership Development through Involvement in the Community
Woodlands Secondary,STEM - Health and Food Science,"Real Food, Real Science",Community Youth Leadership,Paying it Forward: WDL�s Glocal Leadership Programme
Yio Chu Kang Secondary,STEM - Emerging Technologies,To nurture inquiring minds and inventive thinkers through technology,Music & Performing Arts,"Character Development through the Arts, Media and Design"
Yishun Secondary,Aesthetics,"ALP in Sonic Arts (Music, Media & Technology)",Community Youth Leadership,"Leading with Empathy, Serving with Compassion through the Arts"
Yuan Ching Secondary,STEM - Future of Transportation,Marine Robotics,Sports & Outdoor Education,gRowing Values Through Sports and Outdoor Experiences
Yuhua Secondary,STEM - Emerging Technologies,"Coding, Design, Thinking and Robotics (CODER)",Music & Performing Arts,"M.E.L.O.D.Y. (Music Empowered Leaners, Our Dynamic Yuhuans)"
Yusof Ishak Secondary,STEM - Sustainability,STEM for the Strategic Development of a Sustainable and Smart City (S4TEM@YI),Community Youth Leadership,Nurturing Honourable Leaders for Tomorrow (YI LEAD+)
Yuying Secondary,Business & Entrepreneurship,Fostering Innovation through Design Thinking,Community Youth Leadership,"YUYING C.A.R.E.S - Collaborate, Act, Reflect, Empathise, Serve"
Zhenghua Secondary,STEM - Future of Transportation,Future of Transportation,Sports & Outdoor Education,Outdoor Education for Character & Leadership Development
Admiralty Primary ,STEM - Sustainability,Design Thinking for Sustainability (DTS @ Admiralty),Community Service & Student Leadership,High Performance Mind-set for Personal Leadership
Ahmad Ibrahim Primary,STEM - Sustainability,Sustainability Education � Nurturing Students to be Stewards of Our Environment,Community Service & Student Leadership,The 3Rs � Leader U Development programme- From Values to Action: Developing Community-based Student Leaders
Ai Tong School,Innovation & Enterprise,iDARE @ ATS,Sports & Outdoor Education,L.E.A.D.: Character and Leadership Development through Outdoor Education Programme
Alexandra Primary,STEM - Material Science,"Science, Design Technology & Design Thinking at ALPS (SDT2@ALPS)",Community Service & Student Leadership,Cultural Intelligence (CQ) ? The Code of Life
Anchor Green Primary,Interdisciplinary ,Empowering Learners to be Environmental Activists (ELEA),Music & Performing Arts,"A.G.P.S Arts (Aspire, Grow, Passion and Serve through the Arts)"
Anderson Primary,STEM  - Material Science,Eureka!,Music & Performing Arts,VIVACE! - Values Inculcation Via Arts and Creative Experiences
Angsana Primary,STEM - Sustainability,Nurturing Problem Solvers through Computational Thinking,Community Service & Student Leadership,Nurturing and Developing 21st Century Leaders through Enrichment and Lifeskills (ENL) Programmes
Ang Mo Kio Primary,Languages,"POISE@AMKP � Programme to develop Outstanding, Inspired and SEnsitive communicators at Ang Mo Kio Primary School",Community Service & Student Leadership,Nurturing the Confident AMKPian
Anglo-Chinese School (Junior),Interdisciplinary,Creative Thinkers,Sports & Outdoor Education,"All for Sports, Sports for All @ ACS(Junior)"
Anglo-Chinese School (Primary),Languages,"Dream it, Do it",Sports & Outdoor Education,Building Character Through Sports
Beacon Primary,STEM - Sustainability,Beacon Environmental Stewardship,Community Service & Student Leadership,BEACON FUTURE READY PROGRAMME (BFRP) - Beacon At Your Service (BAYS)
Bedok Green Primary,Interdisciplinary,Environmental Education (E2@BGPS),Sports & Outdoor Education,Sports and Aesthetics To Reinforce Values Education (STRIVE @ BGPS)
Bendemeer Primary,STEM - Sustainability,E2SL@BPS (Environment Education in Sustainable Living),Music & Performing Arts,Bendemeer�s TEMPO (Towards Enhancement of Music and Performing Arts Opportunities)
Blangah Rise Primary,STEM - Material Science,Aspiring Confident Engineers (ACE)@BRPS,Community Service & Student Leadership,Leader for Life 
Boon Lay Garden Primary,Interdisciplinary,Thinking curriculum through Habits of Mind @ BLGPS - Developing Self-directed Learners,Community Service & Student Leadership,Empowering the next generation of Eco Stewards through Environment Education 
Bukit Panjang Primary,Languages,CAR2E : Critical & Appreciative Reading to Respond Empathetically,Music & Performing Arts,i2 Can Dance!
Bukit Timah Primary ,Interdisciplinary,Inquiry-based Learning supported by Thinking Routines,Music & Performing Arts,Music for Everyone - Building Empathy and Resilience
Bukit View Primary,Interdisciplinary,Inspiring Reflective and Innovative Self-directed learners (IRIS),Music & Performing Arts,Arts Alive! - Nurturing Confident Leaders through the Arts
Canberra Primary,ICT & Media,"Foundation Stage: Start Young, Start It Right � Curating My Learning (P1 to P4); Orientation Stage: Orientation to My Future Learning � Ready for Tomorrow (P5 and P6)",Music & Performing Arts,Immersing in Canberra Experience through Musical Theatre Education
Canossa Catholic Primary,STEM - Sustainability,MAKE@CCPS,Sports & Outdoor Education,"Nurturing Physically Fit, Adventurous, Courageous and Empowered Leaders through Sports (PACE@CCPS)"
Cantonment Primary,Interdisciplinary,Thinking Curriculum @Cantonment Primary School (TC@CPS),Music & Performing Arts/ Visual Arts & Design  ,PAVE LLP; Performing Arts for Values and Excellence; Learning for Life Programme 
Casuarina Primary,STEM - Sustainability,Nature-based Education towards Environmental Sustainability,Visual Arts & Design ,Holistic Education through the ARTS at Casuarina Primary School (HE�ARTS@CAPS)
Catholic High School (Primary),STEM - Sustainability,Coding in Environmental Solutions (CODES),Sports & Outdoor Education,Values Infused Through Active Learning in Sports (VITALS)
Cedar Primary,Interdisciplinary,Creative and Inventive Thinking (CIT) Programme,Community Service & Student Leadership,Upstanding Leaders @ Cedar Primary School
Changkat Primary,STEM - Sustainability,ECO@CKP,Sports & Outdoor Education,"Sports, Outdoor, Athletics & Recreation @ Changkat Primary (SOAR@CKP)"
CHIJ (Katong) Primary ,Languages,"Confident, Competent and Respectful Communicators",Community Service & Student Leadership ,Community Student Leadership
CHIJ (Kellock),Interdisciplinary,Future-ready K-Champs ,Music & Performing Arts,ArtsONE+ : Purposeful Learning of Music and Performing Arts Using the Self-regulated Approach
CHIJ Our Lady of Good Counsel,Languages,Drama and Literary Arts for LifE! (D�LitE),Community Service & Student Leadership,The PROACTIVE Leader in Me Development Programme
CHIJ Our Lady of the Nativity,Languages,"LEAPS (Learn, Engage, Articulate & Perform!)",Sports & Outdoor Education,The SPARK (Sports for Active and Resilient Kids)
CHIJ Our Lady Queen of Peace,STEM - Sustainability,STEM in Sustainability,Community Service & Student Leadership,Character Lives In My Behaviour (CLIMB)
CHIJ Primary (Toa Payoh),STEM - Sustainability,Trash to Treasure,Sports & Outdoor Education,IJSports
CHIJ St Nicholas Girls' (Primary),STEM - Sustainability,Maker's Fantasy - Innovations in Math and Science for a Sustainable Earth ,Community Service & Student Leadership,A Leader in Every St Nicks Girl (Student Leadership) 
Chongfu School,Innovation & Enterprise,Chongfu Design Thinkers' Programme ,Sports & Outdoor Education,Growing Character through Sports and Outdoor Education
Chongzheng Primary,Innovation & Enterprise,EPIC -  Empowering Pupils to Innovate for the Community ,Community Service & Student Leadership,Chong Zheng Community Leaders (CZCL)
Chua Chu Kang Primary,STEM - Sustainability,A Sustainable Environment with Robotics,Community Service & Student Leadership,Leading through C.A.R.E
