school_name,address,postal_code,nature_code,sap_ind,autonomous_ind,gifted_ind,Vacancy,Applicant,Admission,Popularity,distprog_ICT,distprog_Interdisciplinary,distprog_Languages,distprog_STEM,cca_clubs,cca_others,cca_sports,cca_uniformed,cca_arts,affliation_count,top_psle_score
ADMIRALTY PRIMARY SCHOOL,11 WOODLANDS CIRCLE   ,738907,CO-ED SCHOOL,0,0,0,26,27,96.3%,1.04,0,0,0,2,5,0,5,2,6,0,0
AHMAD IBRAHIM PRIMARY SCHOOL,10 YISHUN STREET 11   ,768643,CO-ED SCHOOL,0,0,0,62,1,100%,0.02,0,0,0,1,3,1,4,1,4,0,0
AI TONG SCHOOL,100 Bright Hill Drive   ,579646,CO-ED SCHOOL,1,0,0,20,62,32.3%,3.10,0,0,0,0,4,0,6,2,5,0,1
ALEXANDRA PRIMARY SCHOOL,2A Prince Charles Crescent   ,159016,CO-ED SCHOOL,0,0,0,23,5,100%,0.22,0,0,0,1,6,0,7,1,5,0,0
ANCHOR GREEN PRIMARY SCHOOL,31 Anchorvale Drive   ,544969,CO-ED SCHOOL,0,0,0,52,0,100%,-,0,1,0,0,4,0,4,1,5,0,0
ANDERSON PRIMARY SCHOOL,19 ANG MO KIO AVE 9   ,569785,CO-ED SCHOOL,0,0,0,29,25,100%,0.86,0,0,0,1,4,0,4,2,11,0,0
ANG MO KIO PRIMARY SCHOOL,20 ANG MO KIO AVENUE 3   ,569920,CO-ED SCHOOL,0,0,0,41,0,100%,-,0,0,1,1,4,1,6,2,4,0,0
ANGLO-CHINESE SCHOOL (JUNIOR),16 WINSTEDT ROAD   ,227988,BOYS' SCHOOL,0,0,0,30,61,49.2%,2.03,0,1,1,0,5,0,28,2,5,0,0
ANGLO-CHINESE SCHOOL (PRIMARY),50 BARKER ROAD   ,309918,BOYS' SCHOOL,0,0,1,0,0,0,0,0,0,1,0,7,0,18,2,2,0,1
ANGSANA PRIMARY SCHOOL,51 Tampines Street 61   ,528565,CO-ED SCHOOL,0,0,0,20,1,100%,0.05,0,0,0,1,3,1,5,2,4,0,0
BEACON PRIMARY SCHOOL,36 Bukit Panjang Ring Road   ,679944,CO-ED SCHOOL,0,0,0,36,0,100%,-,0,0,0,1,4,1,5,1,4,0,0
BEDOK GREEN PRIMARY SCHOOL,1 BEDOK SOUTH AVE 2   ,469317,CO-ED SCHOOL,0,0,0,65,0,100%,-,0,1,0,1,2,0,4,2,6,0,0
BENDEMEER PRIMARY SCHOOL,91 BENDEMEER ROAD   ,339948,CO-ED SCHOOL,0,0,0,44,0,100%,-,0,0,0,2,2,0,6,0,5,0,0
BLANGAH RISE PRIMARY SCHOOL,91 TELOK BLANGAH HEIGHTS   ,109100,CO-ED SCHOOL,0,0,0,30,0,100%,-,0,0,0,1,3,0,3,2,2,0,0
BOON LAY GARDEN PRIMARY SCHOOL,20 BOON LAY DRIVE   ,649930,CO-ED SCHOOL,0,0,0,45,0,100%,-,0,1,0,1,4,0,6,2,4,0,0
BUKIT PANJANG PRIMARY SCHOOL,109 CASHEW ROAD   ,679676,CO-ED SCHOOL,0,0,0,26,20,100%,0.77,0,0,1,0,5,1,7,2,5,0,0
BUKIT TIMAH PRIMARY SCHOOL,111 Lorong Kismis   ,598112,CO-ED SCHOOL,0,0,0,44,0,100%,-,0,1,0,0,3,3,6,2,5,0,0
BUKIT VIEW PRIMARY SCHOOL,18 BUKIT BATOK STREET 21   ,659634,CO-ED SCHOOL,0,0,0,67,0,100%,-,0,1,0,3,5,3,5,1,6,0,0
CANBERRA PRIMARY SCHOOL,21 ADMIRALTY DRIVE   ,757714,CO-ED SCHOOL,0,0,0,35,18,100%,0.51,1,0,0,0,6,1,9,2,3,0,0
CANOSSA CATHOLIC PRIMARY SCHOOL,1 Sallim Road   ,387621,CO-ED SCHOOL,0,0,0,24,14,100%,0.58,0,0,0,1,2,0,4,2,5,0,0
CANTONMENT PRIMARY SCHOOL,1 CANTONMENT CLOSE   ,88256,CO-ED SCHOOL,0,0,0,39,0,100%,-,0,1,0,0,3,2,7,1,4,0,0
CASUARINA PRIMARY SCHOOL,30 PASIR RIS ST 41   ,518935,CO-ED SCHOOL,0,0,0,21,0,100%,-,0,0,0,1,3,0,5,2,5,0,0
CATHOLIC HIGH SCHOOL,9 BISHAN STREET 22   ,579767,BOYS' SCHOOL,1,1,1,20,35,57.1%,1.75,0,0,0,2,3,0,17,5,8,0,1
CEDAR PRIMARY SCHOOL,15 CEDAR AVENUE   ,349700,CO-ED SCHOOL,0,0,0,48,0,100%,-,0,1,0,0,6,0,5,2,2,0,0
CHANGKAT PRIMARY SCHOOL,11 SIMEI ST 3   ,529896,CO-ED SCHOOL,0,0,0,74,1,100%,0.01,0,0,0,2,3,1,4,1,4,0,0
CHIJ (KATONG) PRIMARY,17 MARTIA ROAD   ,424821,GIRLS' SCHOOL,0,0,0,40,12,100%,0.30,0,0,1,0,4,0,8,1,3,0,0
VALOUR PRIMARY SCHOOL,49 Punggol Central   ,828728,CO-ED SCHOOL,0,0,0,20,3,100%,0.15,0,0,0,0,3,0,5,3,4,0,0
CHIJ (KELLOCK),1 Bukit Teresa Road   ,99757,GIRLS' SCHOOL,0,0,0,42,6,100%,0.14,0,1,0,0,8,0,6,1,3,0,0
CHIJ OUR LADY OF GOOD COUNSEL,2C Burghley Drive   ,558979,GIRLS' SCHOOL,0,0,0,34,9,100%,0.26,0,0,1,0,3,0,4,1,3,0,0
CHIJ OUR LADY OF THE NATIVITY,1257 UPPER SERANGOON ROAD   ,534793,GIRLS' SCHOOL,0,0,0,51,37,100%,0.73,0,0,1,0,2,1,4,1,3,0,0
CHIJ OUR LADY QUEEN OF PEACE,4 Chestnut Drive   ,679287,GIRLS' SCHOOL,0,0,0,46,7,100%,0.15,0,0,0,1,3,0,3,1,5,0,0
CHIJ PRIMARY (TOA PAYOH),628 Lorong 1 Toa Payoh   ,319765,GIRLS' SCHOOL,0,0,0,25,56,44.6%,2.24,0,0,0,1,4,0,14,1,6,0,0
CHIJ ST. NICHOLAS GIRLS' SCHOOL,501 ANG MO KIO STREET 13   ,569405,GIRLS' SCHOOL,1,1,0,20,48,41.7%,2.40,0,0,0,1,11,0,8,4,11,0,1
CHONGFU SCHOOL,170 YISHUN AVENUE 6   ,768959,CO-ED SCHOOL,0,0,0,20,39,51.3%,1.95,0,0,0,0,5,0,6,3,5,0,0
CHONGZHENG PRIMARY SCHOOL,1 TAMPINES STREET 21   ,529392,CO-ED SCHOOL,0,0,0,44,10,100%,0.23,0,0,0,0,5,0,4,2,6,0,0
CHUA CHU KANG PRIMARY SCHOOL,20 CHOA CHU KANG AVENUE 2   ,689905,CO-ED SCHOOL,0,0,0,30,16,100%,0.53,0,0,0,2,3,0,4,1,6,0,0
CLEMENTI PRIMARY SCHOOL,8 CLEMENTI AVE 3   ,129903,CO-ED SCHOOL,0,0,0,77,0,100%,-,0,1,0,1,7,2,6,1,6,0,0
COMPASSVALE PRIMARY SCHOOL,21 COMPASSVALE ST   ,545091,CO-ED SCHOOL,0,0,0,38,19,100%,0.50,0,0,0,2,4,0,5,1,5,0,0
CONCORD PRIMARY SCHOOL,3 CHOA CHU KANG AVE 4   ,689814,CO-ED SCHOOL,0,0,0,29,1,100%,0.03,0,1,0,0,1,0,4,0,4,0,0
CORPORATION PRIMARY SCHOOL,31 JURONG WEST STREET 24   ,648347,CO-ED SCHOOL,0,0,0,36,0,100%,-,0,1,0,0,4,1,4,2,5,0,0
DAMAI PRIMARY SCHOOL,52 BEDOK RESERVOIR CRESCENT   ,479226,CO-ED SCHOOL,0,0,0,0,0,0,0,1,0,0,1,4,0,3,2,4,0,0
DAZHONG PRIMARY SCHOOL,35 BUKIT BATOK STREET 31   ,659441,CO-ED SCHOOL,0,0,0,26,0,100%,-,0,0,0,1,1,1,6,2,3,0,0
DE LA SALLE SCHOOL,11 Choa Chu Kang St 52   ,689285,CO-ED SCHOOL,0,0,0,51,12,100%,0.24,0,0,0,0,6,0,5,2,3,0,0
EAST SPRING PRIMARY SCHOOL,31 TAMPINES ST 33   ,529258,CO-ED SCHOOL,0,0,0,55,0,100%,-,1,0,0,1,3,0,4,1,5,0,0
EDGEFIELD PRIMARY SCHOOL,41 EDGEFIELD PLAINS   ,828869,CO-ED SCHOOL,0,0,0,59,0,100%,-,0,0,0,1,3,0,4,1,3,0,0
ELIAS PARK PRIMARY SCHOOL,11 PASIR RIS STREET 52   ,518866,CO-ED SCHOOL,0,0,0,22,0,100%,-,0,1,0,0,3,0,4,1,3,0,0
ENDEAVOUR PRIMARY SCHOOL,10 Admiralty Link   ,757521,CO-ED SCHOOL,0,0,0,58,0,100%,-,0,1,0,0,3,1,8,2,6,0,0
EVERGREEN PRIMARY SCHOOL,31 WOODLANDS CIRCLE   ,738908,CO-ED SCHOOL,0,0,0,33,0,100%,-,0,0,1,1,3,1,4,1,5,0,0
FAIRFIELD METHODIST SCHOOL (PRIMARY),100 DOVER ROAD   ,139648,CO-ED SCHOOL,0,0,0,20,30,66.7%,1.50,0,0,1,0,4,0,5,3,4,0,0
FARRER PARK PRIMARY SCHOOL,2 FARRER PARK ROAD   ,217567,CO-ED SCHOOL,0,0,0,43,0,100%,-,0,1,0,0,5,0,6,2,4,0,0
FENGSHAN PRIMARY SCHOOL,307 BEDOK NORTH ROAD   ,469680,CO-ED SCHOOL,0,0,0,23,0,100%,-,0,1,0,0,2,1,5,4,5,0,0
FERN GREEN PRIMARY SCHOOL,70 Fernvale Link,797538,CO-ED SCHOOL,0,0,0,51,0,100%,-,0,0,0,1,4,0,5,1,5,0,0
FERNVALE PRIMARY SCHOOL,1 Fernvale Lane   ,797701,CO-ED SCHOOL,0,0,0,52,1,100%,0.02,0,0,0,1,4,0,4,1,5,0,0
FIRST TOA PAYOH PRIMARY SCHOOL,7 LORONG 8 TOA PAYOH   ,319252,CO-ED SCHOOL,0,0,0,50,0,100%,-,1,0,0,0,3,2,2,4,2,0,0
FRONTIER PRIMARY SCHOOL,20 Jurong West Street 61   ,648200,CO-ED SCHOOL,0,0,0,20,23,87%,1.15,0,1,0,0,3,1,5,2,4,0,0
FUCHUN PRIMARY SCHOOL,23 WOODLANDS AVENUE 1   ,739063,CO-ED SCHOOL,0,0,0,31,0,100%,-,0,0,1,1,4,0,4,1,4,0,0
FUHUA PRIMARY SCHOOL,65 JURONG EAST STREET 13   ,609647,CO-ED SCHOOL,0,0,0,39,0,100%,-,0,0,0,2,6,3,6,3,5,0,0
GAN ENG SENG PRIMARY SCHOOL,100 REDHILL CLOSE   ,158901,CO-ED SCHOOL,0,0,0,39,0,100%,-,0,1,0,1,3,0,5,3,3,0,0
GEYLANG METHODIST SCHOOL (PRIMARY),4 Geylang East Central   ,389706,CO-ED SCHOOL,0,0,0,47,4,100%,0.09,0,0,1,1,4,0,6,2,5,0,0
GONGSHANG PRIMARY SCHOOL,1 TAMPINES STREET 42   ,529176,CO-ED SCHOOL,0,0,0,20,17,100%,0.85,0,0,1,0,5,0,5,1,2,0,0
GREENDALE PRIMARY SCHOOL,50 Edgedale Plains   ,828848,CO-ED SCHOOL,0,0,0,43,0,100%,-,0,1,0,1,4,1,6,3,3,0,0
GREENRIDGE PRIMARY SCHOOL,11 JELAPANG ROAD   ,677744,CO-ED SCHOOL,0,0,0,29,1,100%,0.03,0,0,1,1,5,1,7,3,4,0,0
GREENWOOD PRIMARY SCHOOL,11 WOODLANDS  DR  62   ,737942,CO-ED SCHOOL,0,0,0,30,0,100%,-,0,0,1,0,4,0,4,1,6,0,0
HAIG GIRLS' SCHOOL,51 Koon Seng Road   ,427072,GIRLS' SCHOOL,0,0,0,39,20,100%,0.51,0,1,0,0,3,0,5,2,6,0,0
HENRY PARK PRIMARY SCHOOL,1 HOLLAND GROVE ROAD   ,278790,CO-ED SCHOOL,0,0,1,31,31,100%,1.00,0,0,0,1,5,0,10,3,5,0,1
HOLY INNOCENTS' PRIMARY SCHOOL,5 Lorong Low Koon   ,536451,CO-ED SCHOOL,1,0,0,22,44,50%,2.00,0,0,1,1,7,0,6,2,4,0,0
HONG WEN SCHOOL,30 TOWNER ROAD   ,327829,CO-ED SCHOOL,1,0,0,28,23,100%,0.82,0,1,0,0,6,0,6,0,5,0,0
HORIZON PRIMARY SCHOOL,61 Edgedale Plains   ,828819,CO-ED SCHOOL,0,0,0,20,11,100%,0.55,0,0,0,1,6,1,7,1,2,0,0
HOUGANG PRIMARY SCHOOL,1 HOUGANG ST 93   ,534238,CO-ED SCHOOL,0,0,0,38,16,100%,0.42,0,0,1,1,7,0,6,1,8,0,0
HUAMIN PRIMARY SCHOOL,21 YISHUN AVENUE 11   ,768857,CO-ED SCHOOL,0,0,0,20,2,100%,0.10,0,1,0,0,7,1,5,1,6,0,0
INNOVA PRIMARY SCHOOL,80 Woodlands Drive 17   ,737888,CO-ED SCHOOL,0,0,0,36,4,100%,0.11,0,1,0,0,3,0,4,2,4,0,0
JIEMIN PRIMARY SCHOOL,2 YISHUN STREET 71   ,768515,CO-ED SCHOOL,0,0,0,34,0,100%,-,0,0,1,0,3,0,4,1,6,0,0
JING SHAN PRIMARY SCHOOL,5 ANG MO KIO ST 52   ,569228,CO-ED SCHOOL,0,0,0,20,0,100%,-,0,0,0,1,4,0,4,1,3,0,0
JUNYUAN PRIMARY SCHOOL,2 Tampines Street 91   ,528906,CO-ED SCHOOL,0,0,0,28,0,100%,-,0,0,1,1,5,1,4,1,4,0,0
JURONG PRIMARY SCHOOL,320 JURONG EAST Street 32   ,609476,CO-ED SCHOOL,0,0,0,20,1,100%,0.05,0,0,1,1,3,0,5,1,4,0,0
JURONG WEST PRIMARY SCHOOL,30 JURONG WEST ST 61   ,648368,CO-ED SCHOOL,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,4,0,0
MEE TOH SCHOOL,21 EDGEDALE PLAINS   ,828867,CO-ED SCHOOL,0,0,0,52,37,100%,0.71,0,1,0,0,8,5,5,1,7,0,0
KEMING PRIMARY SCHOOL,90 BUKIT BATOK EAST AVENUE 6   ,659762,CO-ED SCHOOL,0,0,0,33,21,100%,0.64,0,0,0,1,5,0,4,3,4,0,0
KHENG CHENG SCHOOL,15 LORONG 3 TOA PAYOH   ,319580,CO-ED SCHOOL,0,0,0,54,1,100%,0.02,0,0,0,2,4,0,3,3,3,0,0
KONG HWA SCHOOL,350 GUILLEMARD ROAD   ,399772,CO-ED SCHOOL,1,0,0,24,49,49%,2.04,0,0,1,0,6,0,6,2,5,0,0
KRANJI PRIMARY SCHOOL,11 CHOA CHU KANG STREET 54   ,689189,CO-ED SCHOOL,0,0,0,0,0,0,0,0,1,0,1,3,0,2,1,2,0,0
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,8 BISHAN STREET 13   ,579793,CO-ED SCHOOL,0,0,0,30,32,93.8%,1.07,0,0,2,0,3,2,11,2,5,0,0
LAKESIDE PRIMARY SCHOOL,161 Corporation Walk   ,618310,CO-ED SCHOOL,0,0,0,44,1,100%,0.02,0,1,0,0,5,0,4,1,4,0,0
LIANHUA PRIMARY SCHOOL,2 BUKIT BATOK STREET 52   ,659243,CO-ED SCHOOL,0,0,0,81,0,100%,-,0,0,0,1,4,1,4,1,7,0,0
MAHA BODHI SCHOOL,10 UBI AVENUE 1   ,408931,CO-ED SCHOOL,1,0,0,23,46,50%,2.00,0,0,1,0,11,0,4,1,6,0,0
MARIS STELLA HIGH SCHOOL,25 MOUNT VERNON ROAD   ,368051,BOYS' SCHOOL,1,1,0,31,53,58.5%,1.71,0,0,0,1,12,1,14,4,6,0,0
MARSILING PRIMARY SCHOOL,31 WOODLANDS CENTRE ROAD   ,738927,CO-ED SCHOOL,0,0,0,35,0,100%,-,0,0,1,1,4,0,5,2,4,0,0
MARYMOUNT CONVENT SCHOOL,20 Marymount Road   ,297754,GIRLS' SCHOOL,0,0,0,70,3,100%,0.04,0,0,1,0,4,0,6,1,3,0,0
MAYFLOWER PRIMARY SCHOOL,200 Ang Mo Kio Avenue 5   ,569878,CO-ED SCHOOL,0,0,0,30,0,100%,-,0,0,1,1,3,1,4,3,7,0,0
MERIDIAN PRIMARY SCHOOL,20 PASIR RIS ST 71   ,518798,CO-ED SCHOOL,0,0,0,48,0,100%,-,0,1,0,0,4,1,4,1,4,0,0
